Mesh Names,Tip_Label,Taxon,Superorder,Order,Family,Collection,Specimen_ID,Scan Location,Status,Geologic Age (First Appearance),Locomotion,Diet,Habitat,Social,Activity,Development
Echinosorex Gymnura,Echinosorex_gymnura,Echinosorex gymnura,Laurasiatheria,Eulipotyphla,Erinaceidae,NHMUK ZD,1961.1157,Phenome10K,Extant,Recent,Terrestrial,Omnivore,Closed,Solitary,Nocturnal,Altricial
Elasmotherium Sp,Elasmotherium_sp,Elasmotherium sp,Laurasiatheria,Perissodactyla,Rhinocerotidae,NHMUK PV M,12429,Phenome10K,Extinct,Pliocene,Terrestrial,Herbivore,,,,
Elephas Maximus,Elephas_maximus,Elephas maximus,Afrotheria,Proboscidea,Elephantidae,TMM,M-6445,Digimorph,Extant,Recent,Terrestrial,Herbivore,Mixed terrestrial,Social,All,Precocial
Eleutherocercus Tucumanus,Eleutherocercus_tucumanus,Eleutherocercus tucumanus,Xenarthra,Cingulata,Glyptodontidae,FMNH,P14437,Morphosource,Extinct,Miocene,Terrestrial,Omnivore,,,,
Elotherium Sp,Elotherium_sp,Entelodon sp,Laurasiatheria,Artiodactyla,Entelodontidae,AMNH,FM 571,Morphosource,Extinct,Oligocene,Terrestrial,Herbivore,,,,
Entoptychus Sp,Entoptychus_sp,Entoptychus wheelerensis,Euarchontaglires,Rodentia,Geomyidae,UCMP,151251,Morphosource and Phenome10K,Extinct,Oligocene,Fossorial,Herbivore,,,,
Epimanteoceras Formosus,Epimanteoceras_formusus,Epimanteoceras formosus,Laurasiatheria,Perissodactyla,Brontotheriidae,AMNH,FM 21613,Morphosource,Extinct,Eocene,Terrestrial,Herbivore,,,,
Eporeodon Meagherensis,Eporeodon_meagherensis,Eporeodon meagherensis,Laurasiatheria,Artiodactyla,Merycoidodontidae,YPM,VP.013948,Phenome10K,Extinct,Oligocene,Terrestrial,Herbivore,,,,
Equus Caballus,Equus_caballus,Equus caballus,Laurasiatheria,Perissodactyla,Equidae,LDUCZ,z.3062,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Crepuscular,Precocial
Erethizon Dorsatum,Erethizon_dorsatum,Erethizon dorsatum,Euarchontaglires,Rodentia,Erethizontidae,NHMUK ZD,1936.11.6.21,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Nocturnal,Precocial
Erinaceus Europaens,Erinaceus_europaeus,Erinaceus europaeus,Laurasiatheria,Eulipotyphla,Erinaceidae,LDUCZ,z.3067,Phenome10K,Extant,Recent,Semi-fossorial,Invertivore,Open,Solitary,Nocturnal,Precocial
Eschrichtius Robustus,Eschrichtius_robustus,Eschrichtius robustus,Laurasiatheria,Cetacea,Eschrichtiidae,USNM,13803,Phenome10K,Extant,Recent,Aquatic,Bulk invertivore,Aquatic,Social,All,Precocial
Eubalaena Australis,Eubalaena_australis,Eubalaena australis,Laurasiatheria,Cetacea,Balaenidae,NHMUK ZD,1873.3.3.1,Phenome10K,Extant,Recent,Aquatic,Bulk invertivore,Aquatic,Social,All,Precocial
Euhapsis Ellicottae,Euhapsis_ellicottae,Euhapsis ellicottae,Euarchontaglires,Rodentia,Castoridae,KU,48015,,Extinct,Oligocene,Fossorial,Herbivore,,,,
Eulemur Macaco,Eulemur_macaco,Eulemur macaco,Euarchontaglires,Primates,Lemuridae,USNM,255517,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,All,Altricial
Eusmilus Dakotensis,Eusmilus_dakotensis,Eusmilus dakotensis,Laurasiatheria,Carnivora,Nimravidae,USNM,18214,Phenome10K,Extinct,Oligocene,Terrestrial,Carnivore,,,,
Fossa Fossana,Fossa_fossana,Fossa fossana,Laurasiatheria,Carnivora,Eupleridae,NHMUK ZD,1872.8.19.5/GERM 1582b,Phenome10K,Extant,Recent,Terrestrial,Carnivore,Closed,Solitary,Nocturnal,Altricial
Furipterus Horrens,Furipterus_horrens,Furipterus horrens,Laurasiatheria,Chiroptera,Furipteridae,AMNH,M-78541,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Galidia Elegans,Galidia_elegans,Galidia elegans,Laurasiatheria,Carnivora,Eupleridae,NHMUK ZD,2005.2,Phenome10K,Extant,Recent,Terrestrial,Carnivore,Closed,Solitary,Diurnal,Altricial
Giraffa Camelopardalis,Giraffa_camelopardalis,Giraffa camelopardalis,Laurasiatheria,Artiodactyla,Giraffidae,TMM,M6815,Digimorph,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial
Glaucomys Sabrinus,Glaucomys_sabrinus,Glaucomys sabrinus,Euarchontaglires,Rodentia,Sciuridae,UMN,5952,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Nocturnal,Altricial
Glossotherium Robustum,Glossotherium_robustum,Glossotherium robustum,Xenarthra,Pilosa,Mylodontidae,AMNH,FM 11270,Morphosource,Extinct,Pleistocene,Terrestrial,Herbivore,,,,
Glyptodon Typus,Glyptodon_typus,Glyptodon typus,Xenarthra,Cingulata,Glyptodontidae,MNHN.F,R85A,Phenome10K,Extinct,Pliocene,Terrestrial,Omnivore,,,,
Gorilla Gorilla,Gorilla_gorilla,Gorilla gorilla,Euarchontaglires,Primates,Hominidae,USNM,176216,Smithsonian 3D,Extant,Recent,Semi-arboreal,Herbivore,Closed,Social,Diurnal,Altricial
Graphiurus Hueti,Graphiurus_murinus,Graphiurus hueti,Euarchontaglires,Rodentia,Gliridae,NHMUK ZD,1967.1464,Phenome10K,Extant,Recent,Arboreal,Omnivore,Mixed terrestrial,Social,Nocturnal,Altricial
Hapalops Elongatus,Hapalops_elongatus,Hapalops elongatus,Xenarthra,Pilosa,Megatheriidae,YPM,VPPU.015597,Phenome10K,Extinct,Miocene,Terrestrial,Herbivore,,,,
Harpagolestes Macrocephalus,Harpagolestes_macrocephalus,Harpagolestes macrocephalus,Laurasiatheria,Acreodi,Mesonychidae,YPM,VP.011901,Phenome10K,Extinct,Eocene,Terrestrial,Carnivore,,,,
Helarctos Malayanus,Helarctos_malayanus,Helarctos malayanus,Laurasiatheria,Carnivora,Ursidae,MNHN-ZO-AC,1914-360,Phenome10K,Extant,Recent,Terrestrial,Omnivore,Closed,Solitary,Nocturnal,Altricial
Hemigalus Derbyanus,Hemigalus_derbyanus,Hemigalus derbyanus,Laurasiatheria,Carnivora,Viverridae,NHMUK ZD,1895.7.30.6,Phenome10K,Extant,Recent,Arboreal,Carnivore,Closed,Solitary,Nocturnal,Altricial
Herpestes Javanicus,Herpestes_javanicus,Herpestes edwardsii,Laurasiatheria,Carnivora,Herpestidae,MNHN-ZO-AC,A3444,Phenome10K,Extant,Recent,Terrestrial,Carnivore,Open,Solitary,Diurnal,Altricial
Hesperogaulus Wilsoni,Hesperogaulus_wilsoni,Hesperogaulus wilsoni,Euarchontaglires,Rodentia,Mylagaulidae,LACM,142506,Phenome10K,Extinct,Miocene,Terrestrial,Herbivore,,,,
Hexaprotodon Liberiensis,Choeropsis_liberiensis,Hexaprotodon liberiensis,Laurasiatheria,Artiodactyla,Hippopotamidae,NHMUK ZE,1967.3.20.1,Phenome10K,Extant,Recent,Semi-aquatic,Herbivore,Closed,Solitary,Nocturnal,Precocial
Hipposideros Armiger,Hipposideros_armiger,Hipposideros armiger,Laurasiatheria,Chiroptera,Hipposideridae,AMNH,M-272274,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Hippotragus Equinus,Hippotragus_equinus,Hippotragus equinus,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZE,1962.12.4.2,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial
Holmesina Occidentalis,Holmesina_occidentalis,Holmesina occidentalis,Xenarthra,Cingulata,Pampatheriidae,ROM,3881,,Extinct,Pleistocene,Terrestrial,Omnivore,,,,
Homocamelus Caninus,Homocamelus_caninus,Homocamelus caninus,Laurasiatheria,Artiodactyla,Camelidae,AMNH,F:AM25060,Morphosource,Extinct,Miocene,Terrestrial,Herbivore,,,,
Homotherium Sp,Homotherium_sp,Homotherium sp,Laurasiatheria,Carnivora,Felidae,AMNH,FM 95297,Morphosource,Extinct,Miocene,Terrestrial,Carnivore,,,,
Hoplophoenus Primaevus,Hoplophoneus_primaevus,Hoplophoenus primaevus,Laurasiatheria,Carnivora,Nimravidae,YPM,VPPU.010515,Phenome10K,Extinct,Eocene,Terrestrial,Carnivore,,,,
Hyaena Hyaena,Hyaena_hyaena,Hyaena hyaena,Laurasiatheria,Carnivora,Hyaenidae,MNHN-ZO-AC,1930-220,Phenome10K,Extant,Recent,Terrestrial,Carnivore,Open,Solitary,Diurnal,Altricial
Hyaenodon Paucidens,Hyaenodon_paucidens,Hyaenodon paucidens,Laurasiatheria,Creodonta,Hyaenodontidae,AMNH,FM 647,Morphosource,Extinct,Eocene,Terrestrial,Carnivore,,,,
Hydropotes Inermis,Hydropotes_inermis,Hydropotes inermis,Laurasiatheria,Artiodactyla,Cervidae,NHMUK GERM,1551c,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Solitary,Crepuscular,Precocial
Hylobates Lar,Hylobates_lar,Hylobates lar,Euarchontaglires,Primates,Hylobatidae,NHMUK ZD,1955.1498,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial
Hyracodon Nebraskensis,Hyracodon_nebraskensis,Hyracodon nebraskensis,Laurasiatheria,Perissodactyla,Hyracodontidae,FMNH,P12011,Morphosource,Extinct,Eocene,Terrestrial,Herbivore,,,,
Hystrix Cristata,Hystrix_cristata,Hystrix cristata,Euarchontaglires,Rodentia,Hystricidae,NHMUK ZD,1914.3.8.50,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Mixed terrestrial,Social,Nocturnal,Precocial
Ictitherium Viverrinum,Ictitherium_viverrinum,Ictitherium viverrinum,Laurasiatheria,Carnivora,Hyaenidae,AMNH,F:AM 147032,Morphosource,Extinct,Miocene,Terrestrial,Carnivore,,,,
